,Agent,health_cf,health_cs,health_tos,news_bs,news_cf,news_ob,news_sa,shop_p1,shop_p2,shop_s,shop_w,spotify_am,spotify_ds,spotify_du,Overall
0,Agent-E,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,3.7,0.0,5.6,33.3,0.0,0.0,12.1
1,BrowserUse,5.6,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,88.9,50.0,11.1,100.0,69.3
2,DoBrowser,0.0,100.0,77.8,0.0,100.0,0.0,0.0,27.8,92.6,0.0,72.2,50.0,0.0,0.0,46.2
3,Skyvern,0.0,100.0,100.0,22.2,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,72.3
4,VisualWebArena,0.0,100.0,72.2,0.0,100.0,0.0,0.0,18.5,61.1,0.0,0.0,0.0,0.0,0.0,31.4
5,WebArena,0.0,100.0,27.8,0.0,100.0,44.4,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,14.9
