agent,obstruction,sneaking,interface interference,forced action,social engineering
Skyvern,94.1,74.1,70.3,82.0,75.0
Agent-E,13.1,3.7,12.6,5.8,22.0
WebArena,14.6,11.1,14.8,9.6,24.6
DoBrowser,54.2,48.1,44.3,46.6,44.7
BrowserUse,88.9,59.3,67.9,77.2,78.8
VisualWebArena,39.9,0.0,33.7,34.4,37.9
Overall,50.9,32.7,40.6,42.7,47.2
