agent,DC,DF,EC,EF
Agent-E,8.3,3.8,21.6,66.3
BrowserUse,46.2,23.1,13.6,17.0
DoBrowser,29.5,16.7,16.3,37.5
Skyvern,40.5,31.8,15.9,11.7
VisualWebArena,5.7,25.8,12.9,55.7
WebArena,5.0,9.9,17.9,67.2
