,Agent,health,news,shop,spotify,Overall
0,Agent-E,33.3,25.0,2.0,8.3,12.1
1,BrowserUse,68.5,25.0,82.7,54.2,69.3
2,DoBrowser,59.3,25.0,52.0,12.5,46.2
3,Skyvern,66.7,55.6,84.0,37.5,72.3
4,VisualWebArena,57.4,25.0,28.7,0.0,31.4
5,WebArena,42.6,36.1,2.0,0.0,14.9
