,Agent,health,news,shop,spotify,Overall
0,Agent-E,-7.3999999999999915,2.6999999999999957,-40.3,-33.400000000000006,-27.1
1,BrowserUse,-5.599999999999994,-25.0,-19.0,-8.299999999999997,-16.5
2,DoBrowser,-31.5,-36.099999999999994,-21.5,-29.200000000000003,-27.299999999999997
3,Skyvern,-11.100000000000001,-2.6999999999999957,-17.799999999999997,-12.5,-15.600000000000001
4,VisualWebArena,3.700000000000003,-41.7,-11.4,-16.700000000000003,-12.2
5,WebArena,9.2,-33.400000000000006,-6.299999999999999,-16.700000000000003,-7.900000000000002
