,Agent,health,news,shop,spotify,Overall
0,Agent-E,-8.9,4.9,-87.0,-50.1,-47.5
1,BrowserUse,-7.2,-56.3,-21.8,-16.6,-21.6
2,DoBrowser,-47.2,-81.3,-26.4,-43.8,-37.3
3,Skyvern,-15.4,-8.1,-22.9,-16.7,-21.7
4,VisualWebArena,8.3,-62.5,-74.0,-33.4,-39.6
5,WebArena,55.1,-50.1,-29.7,-25.0,-25.6
