,Agent,health,news,shop,spotify,Overall
0,Agent-E,75.9,58.3,6.0,33.3,29.9
1,BrowserUse,72.2,19.4,68.0,41.7,59.8
2,DoBrowser,35.2,8.3,60.0,37.5,45.8
3,Skyvern,61.1,30.6,60.0,62.5,56.4
4,VisualWebArena,48.1,25.0,4.0,33.3,18.6
5,WebArena,25.9,33.3,14.9,50.0,22.9
