agent,obstruction,sneaking,interface interference,forced action,social engineering
Skyvern,92.68,100.0,68.89,81.73,67.53
Agent-E,50.0,0.0,27.85,13.46,38.89
WebArena,20.0,40.0,18.97,17.02,22.58
DoBrowser,74.03,100.0,60.55,73.08,59.18
BrowserUse,96.97,92.31,75.34,85.84,81.01
VisualWebArena,75.0,0.0,30.61,28.0,42.42
