agent,health,news,shop,spotify,Overall
Agent-E,77.8,33.3,0.0,22.2,35.2
BrowserUse,61.1,22.2,61.1,11.1,46.3
DoBrowser,16.7,0.0,27.8,44.4,22.2
Skyvern,55.6,11.1,77.8,55.6,55.6
VisualWebArena,44.4,0.0,0.0,0.0,14.8
WebArena,16.7,11.1,11.1,44.4,18.5
