agent,health,news,shop,spotify,Overall
Agent-E,-6.6,-40.1,-100.0,-60.1,-26.8
BrowserUse,-21.5,-50.0,-21.5,-66.7,-28.5
DoBrowser,-75.0,-100.0,-58.3,-20.1,-63.7
Skyvern,-23.0,-66.7,-6.6,-16.6,-18.8
VisualWebArena,0.0,-100.0,,-100.0,-53.0
WebArena,0.0,-83.4,98.2,-33.4,-37.5
