,agent,DC,DF,EC,EF
0,Agent-E,10.5,9.3,24.7,55.6
1,BrowserUse,35.8,26.5,10.5,27.2
2,DoBrowser,11.7,22.2,10.5,55.6
3,Skyvern,41.4,22.8,14.2,21.6
4,VisualWebArena,9.9,19.8,4.9,65.4
5,WebArena,6.8,29.6,11.7,51.9
