,Agent,spotify_ds,shop_p1,news_bs,health_cf,health_cs,news_cf,news_sa,shop_w,spotify_du,shop_p2,health_tos
0,Agent-E,0.0,5.6,22.2,0.0,0.0,0.0,0.0,-5.6,0.0,5.6,5.6
1,BrowserUse,0.0,0.0,0.0,16.6,0.0,0.0,0.0,5.5,-33.3,0.0,-44.4
2,DoBrowser,0.0,11.100000000000001,0.0,0.0,0.0,0.0,0.0,-38.900000000000006,0.0,-38.900000000000006,-55.599999999999994
3,Skyvern,0.0,0.0,-11.1,5.6,0.0,0.0,0.0,0.0,-66.7,0.0,0.0
4,VisualWebArena,0.0,-22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,11.099999999999994
5,WebArena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4,38.900000000000006
