,Agent,spotify_ds,shop_p1,news_bs,health_cf,health_cs,news_cf,news_sa,shop_w,spotify_du,shop_p2,health_tos,overall
0,Agent-E,0.0,1120.0,4440.0,0.0,0.0,0.0,0.0,-91.8,0.0,1120.0,1120.0,700.7
1,BrowserUse,0.0,0.0,0.0,272.13,0.0,0.0,0.0,6.15,-33.13,0.0,-44.18,18.3
2,DoBrowser,0.0,28.17,0.0,0.0,0.0,0.0,0.0,-53.51,0.0,-43.51,-71.01,-12.7
3,Skyvern,0.0,0.0,-48.9,1120.0,0.0,0.0,0.0,0.0,-66.37,0.0,0.0,91.3
4,VisualWebArena,0.0,-56.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.4,15.27,-10.5
5,WebArena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18880.0,137.46,1728.9
