agent,health,news,shop,spotify,Overall
Agent-E,-5.5,-22.300000000000004,-5.6,-33.400000000000006,-12.899999999999999
BrowserUse,-16.699999999999996,-22.2,-16.699999999999996,-22.199999999999996,-18.5
DoBrowser,-50.0,-44.4,-38.900000000000006,-11.200000000000003,-38.900000000000006
Skyvern,-16.6,-22.199999999999996,-5.5,-11.100000000000001,-12.899999999999999
VisualWebArena,0.0,-66.7,0.0,-33.3,-16.7
WebArena,0.0,-55.6,5.5,-22.300000000000004,-11.100000000000001
