,Agent,health_cf,health_cs,health_tos,news_bs,news_cf,news_sa,shop_p1,shop_p2,shop_w,spotify_am,spotify_ds,spotify_du
0,Agent-E,0.0,100.0,5.6,22.2,100.0,0.0,5.6,5.6,0.0,0.0,0.0,0.0
1,BrowserUse,22.2,100.0,55.6,0.0,100.0,0.0,100.0,100.0,94.4,0.0,11.1,66.7
2,DoBrowser,0.0,100.0,22.2,0.0,100.0,0.0,50.0,50.0,33.3,0.0,0.0,0.0
3,Skyvern,5.6,100.0,100.0,11.1,100.0,0.0,100.0,100.0,100.0,0.0,0.0,33.3
4,VisualWebArena,0.0,100.0,83.3,0.0,100.0,0.0,16.7,16.7,0.0,0.0,0.0,0.0
5,WebArena,0.0,100.0,66.7,0.0,100.0,0.0,0.0,94.4,16.7,0.0,0.0,0.0
