,agent,DC,EC,DF,EF
0,Agent-E,-3.1999999999999993,-2.8000000000000007,4.700000000000001,1.3999999999999986
1,BrowserUse,-8.600000000000001,0.0,0.3999999999999986,8.2
2,DoBrowser,-17.7,2.0,1.3000000000000007,14.399999999999999
3,Skyvern,-3.0,-0.20000000000000107,-4.699999999999999,7.900000000000002
4,VisualWebArena,0.7000000000000011,-10.1,-9.599999999999998,19.000000000000007
5,WebArena,0.8999999999999995,-5.300000000000001,12.600000000000001,-8.200000000000003
