agent,health,news,shop,spotify,Overall
Agent-E,1.8999999999999915,-22.300000000000004,0.0,-16.7,-6.0
BrowserUse,-11.100000000000001,7.399999999999999,-1.8999999999999986,-27.799999999999997,-8.600000000000001
DoBrowser,-18.500000000000004,-11.1,-27.8,11.100000000000001,-15.7
Skyvern,-5.5,-18.5,3.700000000000003,5.600000000000001,-3.1999999999999957
VisualWebArena,-3.700000000000003,-33.3,0.0,-11.1,-9.399999999999999
WebArena,-9.2,-18.5,5.5,-11.200000000000003,-4.399999999999999
