,Agent,health_cf,health_cs,health_tos,news_bs,news_cf,news_ob,shop_p1,shop_p2,shop_w,spotify_am,spotify_ds,spotify_du
0,Agent-E,0.0,100.0,2.8,16.7,100.0,0.0,1.4,1.9,0.0,0.0,0.0,0.0
1,BrowserUse,13.9,100.0,91.7,0.0,100.0,11.1,100.0,100.0,88.9,0.0,0.0,88.9
2,DoBrowser,0.0,100.0,47.2,0.0,100.0,0.0,38.9,35.2,50.0,0.0,0.0,0.0
3,Skyvern,0.0,100.0,100.0,27.8,100.0,100.0,100.0,100.0,100.0,0.0,0.0,83.3
4,VisualWebArena,0.0,100.0,77.8,0.0,100.0,0.0,27.8,14.8,0.0,0.0,0.0,0.0
5,WebArena,0.0,100.0,66.7,0.0,100.0,44.4,2.9,75.0,18.8,0.0,0.0,33.3
