agent,am_ds,am_du,bs_cf,bs_ob,cf_cs,cf_tos,cs_tos,ds_du,p1_p2,p1_w,Overall
Agent-E,0.0,0.0,1.1,0.2,1.0,0.0,1.1,0.0,0.0,0.0,0.3
BrowserUse,0.0,1.0,1.0,0.1,1.0,1.1,2.0,0.8,2.0,1.9,1.4
DoBrowser,0.0,0.0,1.0,0.0,1.0,0.3,1.7,0.0,0.7,0.9,0.7
Skyvern,0.0,1.0,1.2,1.3,1.0,1.0,2.0,0.7,2.0,2.0,1.5
VisualWebArena,0.0,0.0,1.0,0.0,1.0,0.9,1.6,0.0,0.3,0.6,0.6
WebArena,0.0,0.2,1.0,0.4,1.0,0.8,1.5,0.4,0.8,0.2,0.7
