agent,health,news,shop,spotify,Overall
Agent-E,-7.3999999999999915,-22.300000000000004,-44.9,-7.5,-19.9
BrowserUse,-7.3999999999999915,-44.4,-12.0,14.800000000000004,-14.199999999999996
DoBrowser,-53.7,-44.4,-48.2,-14.899999999999999,-47.6
Skyvern,-3.700000000000003,-5.4999999999999964,-9.700000000000003,-7.400000000000006,-8.499999999999993
VisualWebArena,-1.7999999999999972,-66.7,-12.600000000000001,-25.9,-12.599999999999998
WebArena,7.400000000000002,-55.6,-9.399999999999999,-18.6,-7.899999999999999
