agent,DC,DF,EC,EF
Agent-E,9.6,5.3,26.0,59.1
BrowserUse,51.2,19.6,10.2,19.0
DoBrowser,12.9,21.6,11.7,53.8
Skyvern,48.0,26.3,14.6,11.1
VisualWebArena,8.5,21.1,7.3,63.2
WebArena,8.7,28.1,12.9,50.3
