agent,health,news,shop,spotify,Overall
Agent-E,75.9,33.3,1.4,48.1,35.7
BrowserUse,70.4,0.0,75.0,48.1,61.4
DoBrowser,13.0,0.0,33.3,40.7,24.6
Skyvern,68.5,27.8,68.1,59.3,62.6
VisualWebArena,42.6,0.0,2.8,7.4,15.8
WebArena,24.1,11.1,11.8,48.1,21.6
