,Agent,spotify_ds,shop_p1,news_bs,health_cf,health_cs,news_cf,shop_w,spotify_du,news_ob,shop_p2,health_tos,overall
0,Agent-E,0.0,280.0,3340.0,0.0,0.0,0.0,-91.8,0.0,0.0,-42.86,560.0,367.8
1,BrowserUse,-95.69,0.0,0.0,136.07,0.0,0.0,0.0,-11.04,2220.0,0.0,-8.26,203.7
2,DoBrowser,0.0,39.22,0.0,0.0,0.0,0.0,-30.54,0.0,0.0,-61.65,-39.08,-8.4
3,Skyvern,0.0,0.0,24.67,0.0,0.0,0.0,0.0,-16.62,0.0,0.0,0.0,0.7
4,VisualWebArena,0.0,48.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.16,7.7,-1.7
5,WebArena,0.0,580.0,0.0,0.0,0.0,0.0,12.21,6660.0,0.0,15000.0,137.46,2035.4
