agent,health,news,shop,spotify,Overall
Agent-E,0.0,-22.300000000000004,-1.8000000000000003,9.200000000000003,5.900000000000002
BrowserUse,-1.7999999999999972,-14.8,5.200000000000003,9.200000000000003,0.10000000000000142
DoBrowser,-22.200000000000003,0.0,-25.400000000000006,7.400000000000006,-19.4
Skyvern,7.399999999999999,-1.8000000000000007,7.799999999999997,9.299999999999997,6.600000000000001
VisualWebArena,-5.5,-11.1,1.1999999999999997,-3.6999999999999993,1.1000000000000014
WebArena,-1.7999999999999972,-18.5,-4.300000000000001,-7.5,-1.6999999999999993
