agent,health,news,shop,spotify,Overall
Agent-E,-8.9,-40.1,-97.0,-13.5,-35.8
BrowserUse,-9.5,-100.0,-13.8,44.4,-18.8
DoBrowser,-80.5,-100.0,-59.1,-26.8,-65.9
Skyvern,-5.1,-16.5,-12.5,-11.1,-12.0
VisualWebArena,-4.1,-100.0,-81.8,-77.8,-44.4
WebArena,44.3,-83.4,-44.3,-27.9,-26.8
