,Agent,spotify_ds,shop_p1,news_bs,health_cf,health_cs,news_cf,shop_w,spotify_du,news_ob,shop_p2,health_tos
0,Agent-E,0.0,1.4,16.7,0.0,0.0,0.0,-5.6,0.0,0.0,-1.8000000000000003,2.8
1,BrowserUse,-11.1,0.0,0.0,8.3,0.0,0.0,0.0,-11.099999999999994,11.1,0.0,-8.299999999999997
2,DoBrowser,0.0,11.099999999999998,0.0,0.0,0.0,0.0,-22.200000000000003,0.0,0.0,-57.39999999999999,-30.599999999999994
3,Skyvern,0.0,0.0,5.600000000000001,0.0,0.0,0.0,0.0,-16.700000000000003,0.0,0.0,0.0
4,VisualWebArena,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.3,5.599999999999994
5,WebArena,0.0,2.9,0.0,0.0,0.0,0.0,2.1000000000000014,33.3,0.0,75.0,38.900000000000006
