agent,am_ds,am_du,bs_cf,bs_ob,cf_cs,cf_tos,cs_tos,ds_du,p1_p2,p1_w,Overall
Agent-E,44.4,55.6,33.3,33.3,83.3,77.8,66.7,44.4,1.9,0.0,35.7
BrowserUse,33.3,55.6,0.0,0.0,55.6,72.2,83.3,55.6,81.5,55.6,61.4
DoBrowser,44.4,44.4,0.0,0.0,0.0,22.2,16.7,33.3,29.6,44.4,24.6
Skyvern,66.7,44.4,22.2,33.3,72.2,72.2,61.1,66.7,64.8,77.8,62.6
VisualWebArena,11.1,11.1,0.0,0.0,50.0,44.4,33.3,0.0,3.7,0.0,15.8
WebArena,55.6,44.4,11.1,11.1,27.8,22.2,22.2,44.4,11.5,12.5,21.6
