,agent,DC,EC,DF,EF
0,Agent-E,-0.20000000000000107,6.0,1.6999999999999997,-7.600000000000001
1,BrowserUse,-3.0,3.0999999999999996,-6.199999999999999,6.1
2,DoBrowser,-21.800000000000004,2.3999999999999986,3.400000000000002,16.0
3,Skyvern,0.3999999999999986,6.199999999999999,-10.999999999999996,4.3999999999999995
4,VisualWebArena,1.7999999999999998,-0.7000000000000002,-9.099999999999998,8.100000000000001
5,WebArena,2.8999999999999995,-4.6,16.400000000000002,-14.700000000000003
