,Agent,health,news,shop,spotify,Overall
0,Agent-E,83.3,55.6,46.3,66.7,57.0
1,BrowserUse,77.8,44.4,87.0,50.0,76.3
2,DoBrowser,66.7,44.4,81.5,66.7,73.1
3,Skyvern,72.2,33.3,77.8,75.0,72.0
4,VisualWebArena,44.4,66.7,15.4,50.0,30.8
5,WebArena,16.7,66.7,21.2,66.7,30.8
