,Agent,shop_p1,news_bs,news_cf,news_sa,shop_s,shop_w,news_ob,shop_p2,overall
0,Agent-E,1340.0,0.0,0.0,0.0,0.0,-93.06,0.0,1340.0,323.4
1,BrowserUse,0.0,0.0,0.0,2220.0,0.0,7.57,0.0,0.0,278.4
2,DoBrowser,32.84,0.0,0.0,0.0,0.0,-69.49,0.0,-84.17,-15.1
3,Skyvern,0.0,-97.8,0.0,0.0,0.0,-6.67,0.0,0.0,-13.1
4,VisualWebArena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.12,-5.6
5,WebArena,1340.0,0.0,0.0,0.0,0.0,-64.88,-98.89,17340.0,2314.5
