,agent,DC,EC,DF,EF
0,Agent-E,-3.1,-6.199999999999999,4.1000000000000005,5.200000000000003
1,BrowserUse,-2.1000000000000014,-8.399999999999999,4.099999999999998,6.199999999999999
2,DoBrowser,-13.5,-10.399999999999999,-3.200000000000001,27.10000000000001
3,Skyvern,-7.300000000000004,-3.0999999999999996,4.199999999999999,6.300000000000001
4,VisualWebArena,0.0,-9.4,-5.200000000000003,14.599999999999994
5,WebArena,-5.199999999999999,-6.200000000000001,13.499999999999998,-2.0999999999999943
