,Agent,news_bs,news_cf,news_ob,news_sa,shop_p1,shop_p2,shop_s,shop_w
0,Agent-E,0.0,100.0,0.0,0.0,6.7,6.7,0.0,0.0
1,BrowserUse,0.0,100.0,0.0,11.1,100.0,100.0,0.0,93.3
2,DoBrowser,0.0,100.0,0.0,0.0,53.3,13.3,0.0,20.0
3,Skyvern,0.0,100.0,100.0,0.0,100.0,100.0,0.0,93.3
4,VisualWebArena,0.0,100.0,0.0,0.0,40.0,40.0,0.0,0.0
5,WebArena,0.0,100.0,0.0,0.0,6.7,86.7,0.0,6.7
