,Agent,shop_0,shop_1,shop_2,shop_3,shop_4,news_0,news_1,news_2,news_3,news_4
0,Agent-E,0,0,0,0,0,0,0,0,0,0
1,BrowserUse,0,0,0,0,0,0,0,0,0,0
2,DoBrowser,0,0,0,0,0,0,0,0,0,0
3,Skyvern,0,0,0,0,0,0,0,0,0,0
4,VisualWebArena,0,0,0,0,0,0,0,0,0,0
5,WebArena,0,0,0,0,0,0,0,0,0,0
