,Agent,num_susceptible_0,num_susceptible_1,num_susceptible_2,num_susceptible_3,num_susceptible_4
0,Agent-E,0,0,0,0,0
1,BrowserUse,0,0,0,0,0
2,DoBrowser,0,0,0,0,0
3,Skyvern,0,0,0,0,0
4,VisualWebArena,0,0,0,0,0
5,WebArena,0,0,0,0,0
