agent,news,shop,Overall
Agent-E,-22.300000000000004,0.0,-8.3
BrowserUse,-44.4,-20.0,-29.200000000000003
DoBrowser,-44.4,-40.0,-41.7
Skyvern,-33.3,-6.700000000000003,-16.700000000000003
VisualWebArena,-66.7,0.0,-25.0
WebArena,-66.7,0.0,-25.0
