,Agent,shop_p1,news_bs,news_cf,news_sa,shop_s,shop_w,news_ob,shop_p2
0,Agent-E,6.7,0.0,0.0,0.0,0.0,-6.7,0.0,6.7
1,BrowserUse,0.0,0.0,0.0,11.1,0.0,6.599999999999994,0.0,0.0
2,DoBrowser,13.299999999999997,0.0,0.0,0.0,0.0,-46.7,0.0,-73.4
3,Skyvern,0.0,-22.2,0.0,0.0,0.0,-6.700000000000003,0.0,0.0
4,VisualWebArena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.3
5,WebArena,6.7,0.0,0.0,0.0,0.0,-13.3,-44.4,86.7
