agent,news,shop,Overall
Agent-E,-40.1,,-39.9
BrowserUse,-100.0,-27.3,-46.7
DoBrowser,-100.0,-66.7,-76.9
Skyvern,-100.0,-8.4,-26.7
VisualWebArena,-100.0,,-100.0
WebArena,-100.0,0.0,-85.6
