agent,bs_cf_ob_sa,p1_p2_s_w,Overall
Agent-E,33.3,0.0,12.5
BrowserUse,0.0,53.3,33.3
DoBrowser,0.0,20.0,12.5
Skyvern,0.0,73.3,45.8
VisualWebArena,0.0,0.0,0.0
WebArena,0.0,6.7,4.2
