agent,news,shop,Overall
Agent-E,-25.0,0.0,-9.399999999999999
BrowserUse,-19.4,-5.0,-10.5
DoBrowser,-8.3,-33.3,-24.0
Skyvern,-30.6,1.5999999999999943,-10.400000000000006
VisualWebArena,-25.0,0.0,-9.4
WebArena,-33.3,1.7000000000000002,-11.399999999999999
