,agent,DC,DF,EC,EF
0,Agent-E,3.1,8.3,9.4,79.2
1,BrowserUse,25.0,31.2,8.3,35.4
2,DoBrowser,7.3,15.6,5.2,71.9
3,Skyvern,34.4,30.2,11.5,24.0
4,VisualWebArena,0.0,21.9,0.0,78.1
5,WebArena,2.1,22.9,2.1,72.9
